jogo;data_jogo;idade;cod_equipe;cod_equipe_opont;resultado;diff_pts;minutos;2pts;2pts_at;2pts_pct;3pts;3pts_at;3pts_pct;LL;LL_at;LL_pct;Reb_Of;Reb_Def;Reb_Tot;Ast;Stl;Blk;Turnv;Pts;Game_Score
63;15/03/1996;33-027;6;10;W ;(+21);36;14;22;0.636;3;5;0.6;2;3;0.667;0;6;6;3;3;2;3;33;27.3
64;16/03/1996;33-028;6;22;W ;(+4);43;14;29;0.483;2;5;0.4;7;7;1;2;14;16;5;1;3;0;37;32.9
65;18/03/1996;33-030;6;29;W ;(+4);47;15;32;0.469;0;5;0;8;10;0.8;2;9;11;4;1;0;2;38;24.7
66;19/03/1996;33-031;6;32;W ;(+22);35;7;16;0.438;0;3;0;6;6;1;2;7;9;3;2;0;6;20;12
67;21/03/1996;33-033;6;26;W ;(+21);37;14;24;0.583;1;4;0.25;7;7;1;0;11;11;5;1;0;1;36;30.4
68;24/03/1996;33-036;6;35;L ;(-1);39;14;22;0.636;0;1;0;8;8;1;5;4;9;2;0;2;2;36;30.5
69;28/03/1996;33-040;6;1;W ;(+31);30;5;12;0.417;0;1;0;3;6;0.5;0;5;5;7;1;1;0;13;12.3
70;30/03/1996;33-042;6;16;W ;(+21);34;6;15;0.4;0;1;0;9;10;0.9;4;5;9;6;2;0;1;21;21.6
71;02/04/1996;33-045;6;19;W ;(+18);37;11;23;0.478;2;3;0.667;8;8;1;1;7;8;3;2;0;1;32;24.6
72;04/04/1996;33-047;6;19;W ;(+8);41;13;24;0.542;1;4;0.25;13;16;0.813;3;4;7;3;4;2;4;40;33.2
73;05/04/1996;33-048;6;5;W ;(+34);28;10;16;0.625;2;2;1;2;3;0.667;0;5;5;4;3;0;3;24;20.7
74;07/04/1996;33-050;6;28;W ;(+4);44;10;30;0.333;2;4;0.5;5;5;1;1;2;3;1;2;0;1;27;12.2
75;08/04/1996;33-051;6;5;L ;(-1);42;13;27;0.481;1;3;0.333;13;19;0.684;4;7;11;5;1;0;1;40;31.5
76;11/04/1996;33-054;6;22;W ;(+13);26;8;18;0.444;0;1;0;1;4;0.25;3;4;7;3;3;0;3;17;11.8
77;12/04/1996;33-055;6;29;W ;(+30);29;10;16;0.625;2;4;0.5;1;1;1;2;1;3;0;4;1;2;23;19.4
78;14/04/1996;33-057;6;8;W ;(+26);35;11;18;0.611;4;7;0.571;6;6;1;3;9;12;3;1;0;3;32;28.7
79;16/04/1996;33-059;6;20;W ;(+6);42;9;27;0.333;1;4;0.25;3;4;0.75;1;8;9;4;2;1;4;22;10.5
80;18/04/1996;33-061;6;11;W ;(+31);24;11;18;0.611;4;5;0.8;4;4;1;1;4;5;1;1;0;2;30;23
81;20/04/1996;33-063;6;14;L ;(-1);31;9;23;0.391;2;5;0.4;4;5;0.8;0;2;2;6;1;1;3;24;13
82;21/04/1996;33-064;6;39;W ;(+10);24;11;22;0.5;1;3;0.333;3;3;1;1;3;4;4;4;0;1;26;22.4
1;01/11/1996;33-258;6;2;W ;(+9);43;10;22;0.455;0;5;0;10;13;0.769;1;3;4;3;0;0;1;30;19.3
2;02/11/1996;33-259;6;29;W ;(+29);30;11;20;0.55;3;7;0.429;2;2;1;1;1;2;5;4;0;2;27;23.1
3;05/11/1996;33-262;6;37;W ;(+23);31;9;18;0.5;3;5;0.6;1;1;1;2;5;7;3;4;0;4;22;17.2
4;06/11/1996;33-263;6;19;W ;(+6);40;18;33;0.545;1;2;0.5;13;14;0.929;1;5;6;0;1;1;0;50;37.2
5;08/11/1996;33-265;6;11;W ;(+18);36;6;14;0.429;1;3;0.333;2;2;1;1;3;4;8;1;0;0;15;14.6
6;09/11/1996;33-266;6;2;W ;(+12);32;10;23;0.435;0;2;0;7;11;0.636;2;1;3;3;1;0;0;27;17.3
7;11/11/1996;33-268;6;30;W ;(+18);35;12;21;0.571;1;1;1;1;2;0.5;1;1;2;5;1;1;3;26;18.5
8;13/11/1996;33-270;6;19;W ;(+32);34;8;23;0.348;0;1;0;12;16;0.75;1;4;5;3;1;0;0;28;17.3
9;15/11/1996;33-272;6;5;W ;(+23);29;15;25;0.6;4;5;0.8;4;4;1;0;1;1;2;1;1;1;38;28.1
10;16/11/1996;33-273;6;1;W ;(+28);35;11;23;0.478;0;1;0;3;4;0.75;0;5;5;3;1;0;2;25;14.7
11;20/11/1996;33-277;6;30;W ;(+14);35;16;29;0.552;0;0;;5;6;0.833;1;3;4;4;1;1;2;37;25.6
12;21/11/1996;33-278;6;10;W ;(+18);34;12;23;0.522;0;2;0;7;7;1;4;3;7;3;2;1;2;31;25.4
13;23/11/1996;33-280;6;36;L ;(-5);39;17;32;0.531;0;6;0;10;12;0.833;1;5;6;4;2;1;2;44;32.1
14;25/11/1996;33-282;6;16;W ;(+4);43;14;26;0.538;1;3;0.333;11;12;0.917;1;6;7;2;2;4;2;40;32.5
15;29/11/1996;33-286;6;9;W ;(+19);40;13;23;0.565;4;5;0.8;6;6;1;0;7;7;4;2;0;2;36;29.6
16;30/11/1996;33-287;6;33;W ;(+9);38;14;35;0.4;2;5;0.4;5;5;1;0;9;9;3;0;0;1;35;19.9
