jogo;data_jogo;serie;jogo_serie;cod_equipe;cod_equipe_opont;resultado;minutos;2pts;2pts_at;2pts_pct;3pts;3pts_at;3pts_pct;LL;LL_at;LL_pct;Reb_Of;Reb_Def;Reb_Tot;Ast;Stl;Blk;Turnv;Pts;Game_Score
17;16/06/1993;FIN;4;6;30;W (+6);46;21;37;0.568;0;1;0;13;18;0.722;1;7;8;4;0;0;1;55;38.9
18;18/06/1993;FIN;5;6;30;L (-10);44;16;29;0.552;2;7;0.286;7;10;0.7;1;6;7;7;0;2;2;41;30.7
19;20/06/1993;FIN;6;6;30;W (+1);44;13;26;0.5;3;5;0.6;4;6;0.667;3;5;8;7;1;0;3;33;24.5
1;28/04/1995;EC1;1;6;5;W (+8);47;18;32;0.563;1;4;0.25;11;11;1;1;8;9;8;1;1;3;48;39.8
2;30/04/1995;EC1;2;6;5;L (-17);40;13;25;0.52;3;6;0.5;3;6;0.5;3;4;7;7;0;0;5;32;19.7
3;02/05/1995;EC1;3;6;5;W (+23);38;9;19;0.474;1;2;0.5;6;7;0.857;2;4;6;3;4;2;6;25;17.8
4;04/05/1995;EC1;4;6;5;W (+1);41;8;21;0.381;3;5;0.6;5;6;0.833;1;3;4;5;3;0;3;24;15.6
5;07/05/1995;ECS;1;6;28;L (-3);40;8;22;0.364;0;2;0;3;5;0.6;2;3;5;3;1;0;8;19;2.6
6;10/05/1995;ECS;2;6;28;W (+10);43;17;30;0.567;1;1;1;3;8;0.375;3;4;7;3;4;4;2;38;30.4
7;12/05/1995;ECS;3;6;28;L (-9);43;15;31;0.484;0;3;0;10;10;1;4;3;7;4;0;1;4;40;26.3
8;14/05/1995;ECS;4;6;28;W (+11);44;9;21;0.429;0;1;0;8;8;1;2;5;7;3;4;0;4;26;19.1
9;16/05/1995;ECS;5;6;28;L (-8);45;15;28;0.536;1;4;0.25;8;8;1;0;4;4;2;2;2;0;39;31
10;18/05/1995;ECS;6;6;28;L (-6);39;8;19;0.421;1;2;0.5;7;10;0.7;2;7;9;7;4;4;6;24;19.9
1;26/04/1996;EC1;1;6;19;W (+17);38;13;22;0.591;0;1;0;9;12;0.75;2;2;4;2;1;1;4;35;22.7
2;28/04/1996;EC1;2;6;19;W (+31);32;9;17;0.529;2;3;0.667;9;12;0.75;0;4;4;4;1;0;0;29;24.5
3;01/05/1996;EC1;3;6;19;W (+21);33;10;23;0.435;3;6;0.5;3;3;1;1;2;3;2;3;0;0;26;19.6
4;05/05/1996;ECS;1;6;26;W (+7);41;17;35;0.486;1;5;0.2;9;9;1;1;4;5;2;0;0;1;44;27
5;07/05/1996;ECS;2;6;26;W (+11);40;11;25;0.44;1;3;0.333;5;5;1;3;2;5;5;3;0;2;28;22.1
6;11/05/1996;ECS;3;6;26;L (-3);51;17;35;0.486;2;5;0.4;10;13;0.769;3;1;4;2;2;0;4;46;28.1
7;12/05/1996;ECS;4;6;26;W (+3);40;7;23;0.304;2;7;0.286;11;13;0.846;2;6;8;8;2;1;0;27;22.4
8;14/05/1996;ECS;5;6;26;W (+13);43;13;29;0.448;1;2;0.5;8;9;0.889;1;1;2;5;2;0;2;35;22
9;19/05/1996;ECF;1;6;28;W (+38);37;9;17;0.529;1;2;0.5;2;3;0.667;2;5;7;4;2;0;3;21;15.8
10;21/05/1996;ECF;2;6;28;W (+5);43;9;21;0.429;2;4;0.5;15;16;0.938;1;4;5;6;4;1;2;35;31.5
11;25/05/1996;ECF;3;6;28;W (+19);39;5;14;0.357;1;1;1;6;11;0.545;3;4;7;4;2;1;2;17;13.6
12;27/05/1996;ECF;4;6;28;W (+5);44;16;23;0.696;3;4;0.75;10;14;0.714;2;1;3;5;1;1;4;45;34.6
13;05/06/1996;FIN;1;6;34;W (+17);41;9;18;0.5;1;4;0.25;9;10;0.9;0;7;7;2;2;1;2;28;21.2
14;07/06/1996;FIN;2;6;34;W (+4);43;9;22;0.409;1;2;0.5;10;16;0.625;2;4;6;8;2;0;2;29;21.8
15;09/06/1996;FIN;3;6;34;W (+22);41;11;23;0.478;3;4;0.75;11;11;1;2;1;3;5;2;0;3;36;28.1
16;12/06/1996;FIN;4;6;34;L (-21);41;6;19;0.316;0;2;0;11;13;0.846;1;2;3;2;1;0;4;23;9.8
17;14/06/1996;FIN;5;6;34;L (-11);43;11;22;0.5;0;4;0;4;5;0.8;2;2;4;1;1;0;2;26;15.1
18;16/06/1996;FIN;6;6;34;W (+12);43;5;19;0.263;1;3;0.333;11;12;0.917;3;6;9;7;2;0;5;22;14.9
1;25/04/1997;EC1;1;6;39;W (+12);42;12;25;0.48;0;1;0;5;5;1;0;8;8;8;2;0;3;29;21.3
2;27/04/1997;EC1;2;6;39;W (+5);44;22;35;0.629;1;2;0.5;10;10;1;3;4;7;2;2;0;2;55;42.8
3;30/04/1997;EC1;3;6;39;W (+1);43;14;24;0.583;0;5;0;0;0;;1;1;2;6;0;1;2;28;19.9
4;06/05/1997;ECS;1;6;1;W (+3);44;13;25;0.52;1;3;0.333;7;10;0.7;3;8;11;6;4;3;3;34;31.1
5;08/05/1997;ECS;2;6;1;L (-8);45;12;29;0.414;0;6;0;3;3;1;6;10;16;6;0;1;1;27;21.8
6;10/05/1997;ECS;3;6;1;W (+20);38;8;20;0.4;0;1;0;5;5;1;3;6;9;3;2;2;5;21;13.4
7;11/05/1997;ECS;4;6;1;W (+9);43;12;22;0.545;0;2;0;3;5;0.6;2;6;8;4;2;1;5;27;18.9
8;13/05/1997;ECS;5;6;1;W (+15);40;9;23;0.391;1;5;0.2;5;5;1;2;5;7;7;2;0;2;24;19.3
9;20/05/1997;ECF;1;6;19;W (+7);42;15;31;0.484;0;2;0;7;10;0.7;3;6;9;3;1;1;2;37;24.6
10;22/05/1997;ECF;2;6;19;W (+7);43;4;15;0.267;0;1;0;15;16;0.938;2;7;9;3;4;1;2;23;21.6
11;24/05/1997;ECF;3;6;19;W (+24);36;14;25;0.56;1;2;0.5;5;5;1;3;5;8;1;1;0;3;34;23.2
12;26/05/1997;ECF;4;6;19;L (-7);45;9;35;0.257;0;8;0;11;13;0.846;4;4;8;1;1;0;2;29;10.2
13;28/05/1997;ECF;5;6;19;W (+13);43;11;31;0.355;1;4;0.25;5;6;0.833;1;5;6;5;2;2;4;28;13.8
14;01/06/1997;FIN;1;6;36;W (+2);41;13;27;0.481;0;0;;5;7;0.714;1;3;4;8;0;1;0;31;23.2
15;04/06/1997;FIN;2;6;36;W (+12);45;11;20;0.55;1;2;0.5;15;21;0.714;4;9;13;9;2;0;5;38;34
16;06/06/1997;FIN;3;6;36;L (-11);41;9;22;0.409;4;10;0.4;4;5;0.8;0;3;3;6;1;2;1;26;19.9
17;08/06/1997;FIN;4;6;36;L (-5);42;11;27;0.407;0;4;0;0;0;;1;3;4;4;0;0;3;22;7.7
18;11/06/1997;FIN;5;6;36;W (+2);44;13;27;0.481;2;5;0.4;10;12;0.833;2;5;7;5;3;1;3;38;29.4
19;13/06/1997;FIN;6;6;36;W (+4);44;15;35;0.429;1;4;0.25;8;10;0.8;1;10;11;4;1;1;1;39;26.1
1;24/04/1998;EC1;1;6;22;W (+3);47;11;27;0.407;0;2;0;17;23;0.739;0;7;7;3;1;1;3;39;24.6
